Collection State Code,Year,Month,Day,Collection Site Code,Commodity Code,Analyzing Lab Code,Source ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
CA,02,10,28,0146,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.061,0.01,M,MO,,,M,O,15,7,10
CA,02,11,20,0000,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,11,20,0001,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,11,20,0146,AC,OH1,,AC,157,Thiabendazole,B,0.21,0.03,M,D,,,M,O,15,16,10.0
CA,02,11,20,0151,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,11,20,0152,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,11,20,0319,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.046,0.01,M,MO,,,M,O,15,7,10
CA,02,11,20,0320,AC,OH1,,AC,042,Azinphos methyl,C,0.022,0.013,M,D,,Q,M,O,15,2,1.5
CA,02,11,20,0407,AC,OH1,,AC,157,Thiabendazole,B,0.5,0.03,M,D,,,M,O,15,16,10.0
CA,02,11,21,0412,AC,OH1,,AC,157,Thiabendazole,B,0.77,0.03,M,D,,,M,O,15,16,10.0
CA,02,12,18,0146,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,12,18,0273,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.062,0.01,M,MO,,,M,O,15,7,10
CA,02,12,18,0412,AC,OH1,,AC,157,Thiabendazole,B,0.63,0.03,M,D,,,M,O,15,16,10.0
CA,02,12,18,0450,AC,OH1,,AC,042,Azinphos methyl,C,0.022,0.013,M,D,,Q,M,O,15,2,1.5
CA,02,12,19,0316,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,12,19,0328,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.072,0.01,M,MO,,,M,O,15,7,10
CO,02,07,15,0007,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.05,0.01,M,MO,,,M,O,15,7,10
CO,02,07,17,0009,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CO,02,08,19,0007,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
CO,02,08,19,0013,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.057,0.01,M,MO,,,M,O,15,7,10
CO,02,09,16,0007,AC,OH1,,AC,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
CO,02,10,07,0006,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CO,02,11,04,0009,AC,OH1,,AC,102,Carbaryl,E,0.05,0.01,M,P,,,H,O,15,12,10
CO,02,11,04,0011,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,07,08,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,08,12,0002,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,08,12,0032,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,08,12,0048,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,08,12,0052,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
FL,02,09,09,0028,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,09,12,0004,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,10,14,0048,AC,OH1,,AC,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
FL,02,11,12,0032,AC,OH1,,AC,102,Carbaryl,E,0.054,0.01,M,P,,,H,O,15,12,10
FL,02,11,12,0049,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,12,09,0009,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,12,09,0041,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
FL,02,12,09,0049,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MD,02,08,14,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MD,02,09,11,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.045,0.01,M,MO,,,M,O,15,7,10
MD,02,09,11,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.12,0.01,M,MO,,,M,O,15,7,10
MD,02,10,23,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MD,02,10,23,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.1,0.01,M,MO,,,M,O,15,7,10
MD,02,11,20,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.036,0.01,M,MO,,,M,O,15,7,10
MD,02,12,18,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.046,0.01,M,MO,,,M,O,15,7,10
MD,02,12,18,0039,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MI,02,07,22,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.17,0.01,M,MO,,,M,O,15,7,10
MI,02,08,23,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.079,0.01,M,MO,,,M,O,15,7,10
MI,02,08,26,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.16,0.01,M,MO,,,M,O,15,7,10
MI,02,08,26,0027,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.24,0.01,M,MO,,,M,O,15,7,10
MI,02,08,26,0047,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.069,0.01,M,MO,,,M,O,15,7,10
MI,02,08,26,0084,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
MI,02,09,23,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.079,0.01,M,MO,,,M,O,15,7,10
MI,02,09,23,0027,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.21,0.01,M,MO,,,M,O,15,7,10
MI,02,09,23,0084,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
MI,02,10,28,0027,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.17,0.01,M,MO,,,M,O,15,7,10
MI,02,10,28,0047,AC,OH1,,AC,157,Thiabendazole,B,0.14,0.03,M,D,,,M,O,15,16,10.0
MI,02,11,25,0005,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.17,0.01,M,MO,,,M,O,15,7,10
MI,02,11,25,0048,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
MI,02,12,17,0008,AC,OH1,,AC,157,Thiabendazole,B,0.14,0.03,M,D,,,M,O,15,16,10.0
MI,02,12,17,0048,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
NY,02,07,24,0006,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.063,0.01,M,MO,,,M,O,15,7,10
NY,02,07,24,0009,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.09,0.01,M,MO,,,M,O,15,7,10
NY,02,07,24,0017,AC,OH1,,AC,171,Dimethoate,C,0.015,0.009,M,D,,Q,M,O,15,2,2
NY,02,07,24,0201,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.076,0.01,M,MO,,,M,O,15,7,10
NY,02,07,24,0259,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.082,0.01,M,MO,,,M,O,15,7,10
NY,02,08,28,0009,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
NY,02,08,28,0220,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
NY,02,09,25,0005,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
NY,02,09,25,0009,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
NY,02,09,25,0011,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
NY,02,09,25,0017,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
NY,02,09,25,0201,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
NY,02,09,25,0228,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
NY,02,09,25,0261,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
NY,02,10,15,0009,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
NY,02,11,13,0000,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
NY,02,11,13,0009,AC,OH1,,AC,171,Dimethoate,C,0.015,0.009,M,D,,Q,M,O,15,2,2
NY,02,11,13,0201,AC,OH1,,AC,102,Carbaryl,E,0.078,0.01,M,P,,,H,O,15,12,10
NY,02,11,13,0219,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.057,0.01,M,MO,,,M,O,15,7,10
NY,02,12,10,0006,AC,OH1,,AC,171,Dimethoate,C,0.015,0.009,M,D,,Q,M,O,15,2,2
OH,02,07,15,0000,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.11,0.01,M,MO,,,M,O,15,7,10
OH,02,07,15,0215,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.11,0.01,M,MO,,,M,O,15,7,10
OH,02,07,15,0224,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,07,16,0212,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,08,19,0100,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
OH,02,08,19,0118,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.27,0.01,M,MO,,,M,O,15,7,10
OH,02,08,19,0212,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
OH,02,08,19,0224,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,09,16,0000,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.07,0.01,M,MO,,,M,O,15,7,10
OH,02,09,16,0308,AC,OH1,,AC,157,Thiabendazole,B,0.16,0.03,M,D,,,M,O,15,16,10.0
OH,02,09,16,0438,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,10,07,0432,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,10,07,0438,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,11,04,0100,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.13,0.01,M,MO,,,M,O,15,7,10
OH,02,12,02,0100,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
OH,02,12,02,0224,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,12,02,0430,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
OH,02,12,02,0436,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.11,0.01,M,MO,,,M,O,15,7,10
TX,02,07,15,0020,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
TX,02,07,16,0419,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.048,0.01,M,MO,,,M,O,15,7,10
TX,02,08,19,0105,AC,OH1,,AC,157,Thiabendazole,B,0.32,0.03,M,D,,,M,O,15,16,10.0
TX,02,09,16,0105,AC,OH1,,AC,157,Thiabendazole,B,0.12,0.03,M,D,,,M,O,15,16,10.0
TX,02,09,16,0409,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
TX,02,09,16,0419,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.043,0.01,M,MO,,,M,O,15,7,10
TX,02,10,07,0105,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.15,0.01,M,MO,,,M,O,15,7,10
TX,02,10,15,0020,AC,OH1,,AC,157,Thiabendazole,B,0.3,0.03,M,D,,,M,O,15,16,10.0
TX,02,11,04,0105,AC,OH1,,AC,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
TX,02,11,04,0201,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
TX,02,11,04,0406,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
TX,02,11,05,0419,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.041,0.01,M,MO,,,M,O,15,7,10
WA,02,07,15,0008,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.037,0.01,M,MO,,,M,O,15,7,10
WA,02,07,15,0032,AC,OH1,,AC,157,Thiabendazole,B,0.22,0.03,M,D,,,M,O,15,16,10.0
WA,02,07,22,0004,AC,OH1,,AC,157,Thiabendazole,B,0.28,0.03,M,D,,,M,O,15,16,10.0
WA,02,08,19,0001,AC,OH1,,AC,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
WA,02,08,19,0004,AC,OH1,,AC,157,Thiabendazole,B,0.14,0.03,M,D,,,M,O,15,16,10.0
WA,02,08,19,0010,AC,OH1,,AC,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
WA,02,09,16,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.08,0.01,M,MO,,,M,O,15,7,10
WA,02,09,16,0004,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.07,0.01,M,MO,,,M,O,15,7,10
WA,02,09,16,0005,AC,OH1,,AC,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
WA,02,09,16,0011,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,10,21,0001,AC,OH1,,AC,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
WA,02,10,21,0005,AC,OH1,,AC,157,Thiabendazole,B,0.31,0.03,M,D,,,M,O,15,16,10.0
WA,02,10,21,0011,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.059,0.01,M,MO,,,M,O,15,7,10
WA,02,10,21,0023,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.14,0.01,M,MO,,,M,O,15,7,10
WA,02,11,18,0001,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
WA,02,11,18,0004,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,11,18,0008,AC,OH1,,AC,157,Thiabendazole,B,0.5,0.03,M,D,,,M,O,15,16,10.0
WA,02,11,18,0032,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WA,02,12,16,0004,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
WA,02,12,16,0010,AC,OH1,,AC,157,Thiabendazole,B,0.77,0.03,M,D,,,M,O,15,16,10.0
WA,02,12,16,0032,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.047,0.01,M,MO,,,M,O,15,7,10
WI,02,07,15,0119,AC,OH1,,AC,157,Thiabendazole,B,0.33,0.03,M,D,,,M,O,15,16,10.0
WI,02,08,19,0118,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
WI,02,09,16,0108,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
WI,02,10,21,0115,AC,OH1,,AC,102,Carbaryl,E,0.052,0.01,M,P,,,H,O,15,12,10
WI,02,11,18,0105,AC,OH1,,AC,102,Carbaryl,E,0.035,0.01,M,P,,,H,O,15,12,10
CA,02,01,23,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,01,23,0146,AJ,OH1,,AJ,157,Thiabendazole,B,0.27,0.03,M,D,,,M,O,15,16,10.0
CA,02,01,23,0150,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,01,23,0151,AJ,OH1,,AJ,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
CA,02,01,23,0273,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,01,23,0450,AJ,OH1,,AJ,102,Carbaryl,E,0.017,0.01,M,P,,Q,H,O,15,12,10
CA,02,02,19,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.2,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0112,AJ,OH1,,AJ,157,Thiabendazole,B,0.28,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0150,AJ,OH1,,AJ,102,Carbaryl,E,0.034,0.01,M,P,,,H,O,15,12,10
CA,02,02,19,0151,AJ,OH1,,AJ,157,Thiabendazole,B,0.24,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0273,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.034,0.01,M,MO,,,M,O,15,7,10
CA,02,02,19,0318,AJ,OH1,,AJ,157,Thiabendazole,B,0.22,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0358,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,02,19,0363,AJ,OH1,,AJ,157,Thiabendazole,B,0.27,0.03,M,D,,,M,O,15,16,10.0
CA,02,02,19,0412,AJ,OH1,,AJ,024,Diazinon,C,0.018,0.011,M,D,M,Q,M,O,15,2,0.5
CA,02,02,19,0450,AJ,OH1,,AJ,024,Diazinon,C,0.018,0.011,M,D,M,Q,M,O,15,2,0.5
CA,02,03,13,0112,AJ,OH1,,AJ,157,Thiabendazole,B,0.25,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0151,AJ,OH1,,AJ,157,Thiabendazole,B,0.15,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0152,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,03,13,0300,AJ,OH1,,AJ,157,Thiabendazole,B,0.15,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0316,AJ,OH1,,AJ,157,Thiabendazole,B,0.27,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0318,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,03,13,0357,AJ,OH1,,AJ,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,03,13,0363,AJ,OH1,,AJ,157,Thiabendazole,B,0.23,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0407,AJ,OH1,,AJ,157,Thiabendazole,B,0.21,0.03,M,D,,,M,O,15,16,10.0
CA,02,03,13,0450,AJ,OH1,,AJ,157,Thiabendazole,B,0.33,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0112,AJ,OH1,,AJ,157,Thiabendazole,B,0.23,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0151,AJ,OH1,,AJ,157,Thiabendazole,B,0.15,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0273,AJ,OH1,,AJ,157,Thiabendazole,B,0.25,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0318,AJ,OH1,,AJ,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0328,AJ,OH1,,AJ,157,Thiabendazole,B,0.13,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0329,AJ,OH1,,AJ,157,Thiabendazole,B,0.18,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0363,AJ,OH1,,AJ,157,Thiabendazole,B,0.15,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0407,AJ,OH1,,AJ,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,10,0450,AJ,OH1,,AJ,157,Thiabendazole,B,0.21,0.03,M,D,,,M,O,15,16,10.0
CA,02,04,11,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.71,0.03,M,D,,,M,O,15,16,10.0
CA,02,05,15,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,05,15,0112,AJ,OH1,,AJ,157,Thiabendazole,B,0.24,0.03,M,D,,,M,O,15,16,10.0
CA,02,05,15,0151,AJ,OH1,,AJ,157,Thiabendazole,B,0.28,0.03,M,D,,,M,O,15,16,10.0
CA,02,05,15,0300,AJ,OH1,,AJ,157,Thiabendazole,B,0.19,0.03,M,D,,,M,O,15,16,10.0
CA,02,05,15,0340,AJ,OH1,,AJ,102,Carbaryl,E,0.04,0.01,M,P,,,H,O,15,12,10
CA,02,05,15,0363,AJ,OH1,,AJ,157,Thiabendazole,B,0.25,0.03,M,D,,,M,O,15,16,10.0
CA,02,05,15,0407,AJ,OH1,,AJ,157,Thiabendazole,B,0.24,0.03,M,D,,,M,O,15,16,10.0
CA,02,05,15,0450,AJ,OH1,,AJ,157,Thiabendazole,B,0.24,0.03,M,D,,,M,O,15,16,10.0
CA,02,06,12,0001,AJ,OH1,,AJ,157,Thiabendazole,B,0.29,0.03,M,D,,,M,O,15,16,10.0
CA,02,06,12,0112,AJ,OH1,,AJ,157,Thiabendazole,B,0.27,0.03,M,D,,,M,O,15,16,10.0
CA,02,06,12,0146,AJ,OH1,,AJ,157,Thiabendazole,B,0.18,0.03,M,D,,,M,O,15,16,10.0
CA,02,06,12,0151,AJ,OH1,,AJ,157,Thiabendazole,B,0.18,0.03,M,D,,,M,O,15,16,10.0
CA,02,06,12,0152,AJ,OH1,,AJ,157,Thiabendazole,B,0.23,0.03,M,D,,,M,O,15,16,10.0
CA,02,06,12,0273,AJ,OH1,,AJ,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,06,12,0329,AJ,OH1,,AJ,157,Thiabendazole,B,0.16,0.03,M,D,,,M,O,15,16,10.0
